id,Rank,Username,Owner,Followers in millions,Profession/Activity,Country/Region
1,1.0,@instagram,Instagram,353.0,Social media platform,United States
2,2.0,@cristiano,Cristiano Ronaldo,224.0,Footballer,Portugal
3,3.0,@arianagrande,Ariana Grande,190.0,Musician and actress,United States
4,4.0,@therock,Dwayne Johnson,187.0,Actor and professional wrestler,United States
5,5.0,@kyliejenner,Kylie Jenner,181.0,Television personality and businesswoman,United States
6,6.0,@selenagomez,Selena Gomez,180.0,Musician and actress,United States
7,7.0,@kimkardashian,Kim Kardashian West,175.0,Television personality and businesswoman,United States
8,8.0,@leomessi,Lionel Messi,155.0,Footballer,Argentina
9,9.0,@beyonce,Beyoncé,148.0,Musician,United States
10,10.0,@neymarjr,Neymar,139.0,Footballer,Brazil
11,11.0,@justinbieber,Justin Bieber,139.0,Musician,Canada
12,12.0,@natgeo,National Geographic,138.0,Magazine,United States
13,13.0,@taylorswift,Taylor Swift,134.0,Musician,United States
14,14.0,@kendalljenner,Kendall Jenner,131.0,Television personality and model,United States
15,15.0,@jlo,Jennifer Lopez,123.0,Musician and actress,United States
16,16.0,@nickiminaj,Nicki Minaj,116.0,Musician,Trinidad and Tobago
17,17.0,@nike,Nike,114.0,Sportswear multinational,United States
18,18.0,@khloekardashian,Khloé Kardashian,114.0,Television personality and businesswoman,United States
19,19.0,@mileycyrus,Miley Cyrus,110.0,Musician and actress,United States
20,20.0,@katyperry,Katy Perry,99.0,Musician,United States
21,21.0,@kourtneykardash,Kourtney Kardashian,94.0,Television personality,United States
22,22.0,@kevinhart4real,Kevin Hart,93.0,Comedian and actor,United States
23,23.0,@theellenshow,Ellen DeGeneres,90.0,Comedian and television personality,United States
24,24.0,@realmadrid,Real Madrid CF,88.0,Football club,Spain
25,25.0,@fcbarcelona,FC Barcelona,86.0,Football club,Spain
26,26.0,@ddlovato,Demi Lovato,85.0,Musician and actress,United States
27,27.0,@badgalriri,Rihanna,83.0,Musician and businesswoman,Barbados
28,28.0,@zendaya,Zendaya,71.0,Actress and musician,United States
29,29.0,@victoriassecret,Victoria's Secret,68.0,Clothing brand,United States
30,30.0,@iamcardib,Cardi B,68.0,Musician,United States
31,31.0,@champagnepapi,Drake,68.0,Musician,Canada
32,32.0,@shakira,Shakira,67.0,Musician,Colombia
33,33.0,@chrisbrownofficial,Chris Brown,66.0,Musician,United States
34,34.0,@kingjames,LeBron James,66.0,Basketball player,United States
35,35.0,@billieeilish,Billie Eilish,64.0,Musician,United States
36,36.0,@vindiesel,Vin Diesel,64.0,Actor,United States
37,37.0,@virat.kohli,Virat Kohli,63.0,Cricketer,India
38,38.0,@davidbeckham,David Beckham,63.0,Footballer,United Kingdom
39,39.0,@championsleague,UEFA Champions League,59.0,Club football competition,Europe
40,40.0,@nasa,NASA,59.0,Space agency,United States
41,41.0,@justintimberlake,Justin Timberlake,59.0,Musician and actor,United States
42,42.0,@emmawatson,Emma Watson,57.0,Actress,United Kingdom
43,43.0,@shawnmendes,Shawn Mendes,56.0,Musician,Canada
44,44.0,@gigihadid,Gigi Hadid,54.0,Model,United States
45,45.0,@priyankachopra,Priyanka Chopra,53.0,Actress and musician,India
46,46.0,@9gag,9GAG,53.0,Social media platform,Hong Kong
47,47.0,@ronaldinho,Ronaldinho,51.0,Footballer,Brazil
48,48.0,@maluma,Maluma,51.0,Musician,Colombia
49,49.0,@camila_cabello,Camila Cabello,50.0,Musician,Cuba
50,50.0,@deepikapadukone,Deepika Padukone,49.0,Actress,India
