id,Rank,Name,Image,City,Country,Height in feet,Floors,Year opened
1,1.0,Burj Khalifa,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Burj_Khalifa.jpg/200px-Burj_Khalifa.jpg,Dubai,United Arab Emirates,2717.0,163.0,2010.0
2,2.0,Shanghai Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Shanghai_tower_dec_26%2C_2014.jpg/200px-Shanghai_tower_dec_26%2C_2014.jpg,Shanghai,China,2073.0,128.0,2015.0
3,3.0,Abraj Al-Bait Clock Tower,https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Abraj-al-Bait-Towers.JPG/200px-Abraj-al-Bait-Towers.JPG,Mecca,Saudi Arabia,1971.0,120.0,2012.0
4,4.0,Ping An Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/%E5%B9%B3%E5%AE%89%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83_2019-12-23.jpg/200px-%E5%B9%B3%E5%AE%89%E9%87%91%E8%9E%8D%E4%B8%AD%E5%BF%83_2019-12-23.jpg,Shenzhen,China,1965.0,115.0,2017.0
5,5.0,Lotte World Tower,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lotte-tower-close.png/200px-Lotte-tower-close.png,Seoul,South Korea,1819.0,123.0,2016.0
6,6.0,One World Trade Center,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/One_World_Trade_Center_cropped2.jpg/200px-One_World_Trade_Center_cropped2.jpg,New York City,United States,1776.0,104.0,2014.0
7,7.0,Guangzhou CTF Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Canton_CTF_Finance_Center_%282017-08-30%2C_Final%29.jpg/200px-Canton_CTF_Finance_Center_%282017-08-30%2C_Final%29.jpg,Guangzhou,China,1739.0,111.0,2016.0
8,8.0,Tianjin CTF Finance Center,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Tianjin_CTF_Finance_Centre%2C_23_of_24_cropped.jpg/200px-Tianjin_CTF_Finance_Centre%2C_23_of_24_cropped.jpg,Tianjin,China,1739.0,98.0,2018.0
9,9.0,China Zun,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/China_Zun_05-11-2018.jpg/200px-China_Zun_05-11-2018.jpg,Beijing,China,1732.0,108.0,2018.0
10,10.0,Taipei 101,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Taipei101.portrait.altonthompson.jpg/200px-Taipei101.portrait.altonthompson.jpg,Taipei,Taiwan,1667.0,101.0,2004.0
